date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:22	17653/17653	---M--	200	added ('OK')	image/png	etag:%225191-614f249402d32%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Murad.png?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Muradb0d0.png	(from https://98o.976.myftpupload.com/)
17:43:22	16457/16457	---M--	200	added ('OK')	image/jpeg	etag:%224494-614f0c5cfb534%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2021/03/team-img.jpg?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2021/03/team-imgb0d0.jpg	(from https://98o.976.myftpupload.com/)
17:43:22	35722/35722	---M--	200	added ('OK')	image/jpeg	etag:%229460-614f0c5af8ea3%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2020/08/team-2-1.jpg?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2020/08/team-2-1b0d0.jpg	(from https://98o.976.myftpupload.com/)
17:43:23	24012/24012	---M--	200	added ('OK')	image/jpeg	etag:%22625a-614f0c5b0fdd4%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2020/08/team-3-1.jpg?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2020/08/team-3-1b0d0.jpg	(from https://98o.976.myftpupload.com/)
17:43:23	99401/99401	---M--	200	added ('OK')	image/png	etag:%221e41b-5d66d6f9ea300%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/Untitled_design__3_-removebg-preview-1.png?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/Untitled_design__3_-removebg-preview-1b0d0.png	(from https://98o.976.myftpupload.com/)
17:43:23	23670/23670	---M-Z	200	added ('OK')	text/javascript	etag:%225c76-626f9f39cf3aa-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.8.6&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/themes/astra/assets/js/minified/frontend.min6031.js	(from https://98o.976.myftpupload.com/)
17:43:23	457/457	---M-Z	200	added ('OK')	text/javascript	etag:%221c9-6277d50f2072b;5fee6a78033cf	https://98o976.p3cdn1.secureserver.net/wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-includes/js/dist/dom-ready.mine444.js	(from https://98o.976.myftpupload.com/)
17:43:24	6581/6581	---M-Z	200	added ('OK')	text/javascript	etag:%2219b5-626f9f32f96ec-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/main.js?ver=06758d4d807d9d22c6ea&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/main0e8e.js	(from https://98o.976.myftpupload.com/)
17:43:24	1801/1801	---M-Z	200	added ('OK')	text/javascript	etag:%22709-627b11c2bfc09-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js?ver=0.2.1&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.mincc8a.js	(from https://98o.976.myftpupload.com/)
17:43:24	5252/5252	---M-Z	200	added ('OK')	text/javascript	etag:%221484-627b11c2a811f-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/js/webpack.runtime.min2d5e.js	(from https://98o.976.myftpupload.com/)
17:43:24	54824/54824	---M-Z	200	added ('OK')	text/javascript	etag:%22d628-627b11c298336-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/js/frontend-modules.min2d5e.js	(from https://98o.976.myftpupload.com/)
17:43:25	21464/21464	---M-Z	200	added ('OK')	text/javascript	etag:%2253d8-6277d50f2e1ec;5fee6a78033cf	https://98o976.p3cdn1.secureserver.net/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-includes/js/jquery/ui/core.mindc8f.js	(from https://98o.976.myftpupload.com/)
